"idCliente","flEmail","flTwitch","flYouTube","flBlueSky","flInstagram","qtdePontos","dtCriacao","dtAtualizacao"
"000ff655-fa9f-4baa-a108-47f581ec52a1","0","0","0","0","0","686","",""
"001749bd-37b5-4b1e-8111-f9fbba90f530","0","0","0","0","0","50","",""
"0019bb9e-26d4-4ebf-8727-fc911ea28a92","0","0","0","0","0","2","",""
"0033b737-8235-4c0f-9801-dc4ca185af00","0","1","0","0","0","1090","0000-00-00 00:00:00.000","2025-02-19 12:48:24.632"
"00684343-40b5-4ce7-b2e8-71a5340973bf","0","0","0","0","0","0","",""
"0097ab76-4637-4ece-8ebc-ab6abd61d662","0","0","0","0","0","50","",""
"00a6d4c8-38e5-4e92-981e-4e4ac5084546","1","0","0","0","0","6637","0000-00-00 00:00:00.000","2025-02-27 12:28:58.378"
"00c26486-33e8-4af9-8e0f-4ee220252ca9","0","0","0","0","0","0","",""
"00f9cc87-c956-4b27-92e2-c96c5774083e","0","0","0","0","0","52","",""
"0122142b-464c-414a-9aad-e901f492a1a3","0","1","0","0","0","119","2025-01-10 12:01:26.743","2025-02-10 11:09:05.041"
"012bc897-e45c-4e6a-a742-7e00fa2e59e5","0","0","0","0","0","51","",""
"0136afea-76c9-45c0-b9db-0212595418e5","0","0","0","0","0","102","",""
"014491f5-caa3-4122-be69-a31411ad4bd7","0","1","0","0","0","154","0000-00-00 00:00:00.000","2024-11-25 12:29:46.067"
"0147f062-0e6c-46a9-a66d-d0bc4d651a73","0","1","0","0","0","50","2025-01-08 11:52:29.269","2025-01-08 11:52:39.201"
"014b7774-561a-4a58-93d7-070667df90fb","0","0","0","0","0","126","",""
"015e35f3-70d3-43f3-895d-cdea386118d7","0","0","0","0","0","166","",""
"015fe52e-cc46-40c2-a496-2d228208bb2e","0","0","0","0","0","100","",""
"016cfd4a-8dd3-4d78-9a08-b6829775f86d","0","1","0","0","0","54","2024-12-12 11:51:39.867","2024-12-12 12:05:19.942"
"01cada67-8f31-475b-8b34-344d953d739a","0","0","0","0","0","51","",""
"01ccd9fc-a0d4-4bb3-8d70-005818be596c","0","1","0","0","0","50","2025-02-19 12:41:11.583","2025-02-19 12:41:23.369"
"01f2e6ea-4fc4-4eb3-94aa-3f36109a9787","0","0","0","0","0","176","",""
"01f3a765-a092-4999-be4b-98fc5404653b","0","0","0","0","0","202","",""
"022ee093-36c6-4519-9404-b145a086b40c","0","1","0","0","0","670","2025-01-30 11:12:55.712","2025-02-21 11:33:11.509"
"025f30ce-4b1b-429f-b92b-5b3f7003699f","0","0","0","0","0","50","",""
"0262b6a5-db4c-49ba-b139-86fc3cb6278f","0","0","0","0","0","50","",""
"0287cd05-1efe-4ad9-b235-ea17e5f8ef9c","0","1","0","0","0","2633","0000-00-00 00:00:00.000","2025-02-26 13:26:52.939"
"02adccd0-1559-4f7d-bc92-02ec73e68773","0","0","0","0","0","102","",""
"02bfd4d9-4dd6-44e5-88b8-2cc08caf3267","0","1","0","0","0","3430","0000-00-00 00:00:00.000","2025-03-06 12:08:59.757"
"02cb6641-a115-4c53-a6ab-22b332d8e5e2","0","0","0","0","0","150","",""
"02d8e64c-cb53-446b-955e-cbbf93c8f747","0","1","0","0","0","50","2025-02-10 13:23:55.932","2025-02-10 13:24:04.866"
"02ebaed5-c07a-4bdd-bb7b-5334d5b25b39","0","1","0","0","0","3763","0000-00-00 00:00:00.000","2025-02-24 13:21:36.049"
"031f1b88-5440-45af-8fa9-1423a0a15145","0","0","0","0","0","0","",""
"032a9f21-2dc3-4edd-a757-21d8ba63ce66","0","1","0","0","0","1118","2024-10-30 11:38:33.050","2025-01-07 12:34:53.338"
"0337e2c8-9f22-4198-9920-7d0dd03b3467","0","0","0","0","0","1","",""
"034bc7eb-fe02-4931-8d3e-f3f93a138fdb","0","1","0","0","0","303","0000-00-00 00:00:00.000","2024-10-31 11:59:57.371"
"0368a5c3-bc5d-45f2-b8a0-07e74ea1574f","0","0","0","0","0","1853","",""
"0375a135-e973-49a6-89f6-dfbca84dcd17","0","1","0","0","0","283","2025-02-17 11:06:04.616","2025-02-21 11:46:25.588"
"038d7c90-b7c3-46d2-b7ea-3db6fc63d625","0","0","0","0","0","50","",""
"0390e2ff-dbc3-4962-a1de-6fb45cae2a13","0","0","0","0","0","50","",""
"039371da-962c-453b-b9d9-20859d426458","0","0","0","0","0","201","",""
"03a59296-ca4e-4521-b7a1-4c6b8a604c17","0","1","0","0","0","0","2024-11-08 13:05:31.131","2024-11-08 13:05:31.131"
"03a676ed-24fe-4f86-807e-3f804e57b82e","0","0","0","0","0","532","",""
"03ad2c81-1094-4f41-8c1d-dd71e9537d48","0","1","0","0","0","103","2025-02-19 12:40:42.862","2025-02-21 11:24:48.989"
"03d75a45-0b36-4fd7-a84e-7b36912f1998","0","0","0","0","0","70","",""
"03f108c1-e828-46d6-addd-87025871bfa4","0","1","0","0","0","11001","0000-00-00 00:00:00.000","2025-02-27 11:42:52.759"
"03f9edbb-7420-4f36-9a24-894de6aa5678","0","1","0","0","0","2073","2024-11-26 12:19:06.200","2025-03-06 11:49:24.815"
"04124257-0643-41d9-bc4a-2ed6ad3e27de","0","1","0","0","0","104","2025-02-10 11:18:51.599","2025-02-17 11:16:14.716"
"042fa213-0c29-487c-8600-799e09551991","0","0","0","0","0","116","",""
"043c4972-df0d-4181-8b77-dd6c351fdebc","0","0","0","0","0","260","",""
"044e95f2-8756-42bd-a0a3-d50708beb8da","0","1","0","0","0","1767","0000-00-00 00:00:00.000","2025-03-06 11:34:58.709"
"04612efc-dc61-4434-90a1-afc1b43767c1","0","1","0","0","0","3513","0000-00-00 00:00:00.000","2025-02-21 12:48:54.601"
"04868bca-454e-4f72-aef5-df2f95fe1577","0","1","0","0","0","422","2024-11-19 12:36:31.737","2024-12-12 12:55:24.877"
"048940be-2b8a-4844-b576-0044ae29649e","0","0","0","0","0","50","",""
"048f3edb-eeec-4105-8849-0d7f21013add","0","0","0","0","0","683","",""
"04a6cf69-48dd-48da-b799-f9c1d70570bb","0","1","0","0","0","167","2024-11-28 12:09:18.701","2025-02-11 11:43:29.494"
"04b0b9a3-6749-43ac-bbc9-3f0c967f2c09","0","0","0","0","0","54","",""
"04b34e7c-926f-45a6-a521-bfb4631f7bc6","0","0","0","0","0","5","",""
"04c0099a-17fc-4535-88c0-36251c16b582","0","0","0","0","0","57","",""
"04c29efc-7d2d-478d-af99-cc40df7a3c30","0","0","0","0","0","100","",""
"04c86a84-0b8c-48ea-9e87-979b337629aa","0","0","0","0","0","452","",""
"04ebbfc3-0ac0-45fe-84bc-f4aa07ab46aa","0","0","0","0","0","627","",""
"0502e189-6816-4bea-8de9-72a2fbf9d4eb","0","1","0","0","0","57","2025-01-09 13:01:50.319","2025-01-29 12:18:32.045"
"05150214-b94e-437e-8a48-de7426c9b084","0","0","0","0","0","53","",""
"052e957b-8569-4932-9b89-ff25f944a094","0","1","0","0","0","219","2025-01-27 12:38:40.933","2025-01-29 12:54:23.820"
"053c1321-f73d-4b7c-ab92-bda971ff18a6","0","0","0","0","0","1085","",""
"053f094b-a813-4417-9bb6-7a3d1737b089","0","0","0","0","0","658","",""
"056caf66-d67b-449e-8cba-0bab8aca5949","0","1","0","0","0","965","0000-00-00 00:00:00.000","2025-02-26 13:04:52.588"
"0586bad4-0312-40db-857a-84eb23c37c9e","0","0","0","0","0","1","",""
"058d457f-9ffd-4426-a0f0-7aa20065a0db","0","0","0","0","0","2","",""
"05bc8281-1c44-4682-a4a0-4726e30340e4","0","0","0","0","0","52","",""
"05c0957e-eddb-438a-bbb7-a0bcc175e3fc","0","0","0","0","0","56","",""
"05de679b-9989-4416-9aa4-20c149999c8d","0","0","0","0","0","1384","",""
"05f22241-6fc0-4d28-ac38-c01e6350b0c7","0","1","0","0","0","53","2024-11-21 12:41:19.550","2024-11-21 13:06:25.437"
"05f3aaf3-6295-4e7a-a76e-4838c653b4f0","0","0","0","0","0","51","",""
"05f6c58c-5749-46a6-8aa7-07768c3a6f03","0","0","0","0","0","50","",""
"0651419a-7e4e-4331-9399-443bf9597f5c","0","0","0","0","0","116","",""
"065194d3-d70e-4fa1-9035-1808d6e222b3","0","0","0","0","0","106","",""
"066c9fc6-f704-4165-a8f3-3d1968b0d4a3","0","0","0","0","0","4493","",""
"0676528b-8214-4832-9f82-0383b61dca07","0","0","0","0","0","54","",""
"06cd7d0d-d65f-4fba-b871-541e02dd8427","0","0","0","0","0","0","",""
"06d83d70-52bf-48a6-b35d-79b5357d3dcb","0","0","0","0","0","251","",""
"06dfd571-9e08-490d-a632-83a2def99edf","0","0","0","0","0","50","",""
"06ec7361-1bfb-432d-99c8-a647893baf97","0","1","0","0","0","953","2024-12-11 12:31:10.063","2025-02-25 12:15:22.122"
"06faf76d-37e2-4152-8340-cea8e10877e9","0","0","0","0","0","0","",""
